alpha,n_cal,qhat_BLL,qhat_FSRQ
0.01,1604,0.94711416959762584,0.98122175037860881
0.029600000000000001,1604,0.73030763864517212,0.91512675583362579
0.049200000000000001,1604,0.60863298177719116,0.88682733476161957
0.0688,1604,0.45560804009437561,0.81025263667106628
0.088399999999999992,1604,0.35850962996482849,0.76810251176357269
0.10000000000000001,1604,0.31393864750862122,0.68048837780952454
0.108,1604,0.27724495530128479,0.65144538879394531
0.12759999999999999,1604,0.22340482473373413,0.56282046437263489
0.1472,1604,0.18272741138935089,0.46265017986297607
0.1668,1604,0.1493859589099884,0.36982250213623047
0.18640000000000001,1604,0.12889951467514038,0.33384782075881958
0.20600000000000002,1604,0.11293306201696396,0.28479039669036865
0.22559999999999999,1604,0.10000181943178177,0.23306095600128174
0.2452,1604,0.092069111764431,0.19813692569732666
0.26479999999999998,1604,0.082991465926170349,0.17046076059341431
0.28439999999999999,1604,0.075680553913116455,0.15824282169342041
0.30399999999999999,1604,0.070644982159137615,0.14251172542572021
0.3236,1604,0.064557775855064392,0.12751984596252441
0.34320000000000001,1604,0.059537790715694427,0.11392515897750854
0.36280000000000001,1604,0.052806604653596767,0.10676866769790649
0.38240000000000002,1604,0.046493679285049438,0.096954822540283203
0.40200000000000002,1604,0.041751429438591003,0.088743627071380615
0.42159999999999997,1604,0.036111466586589813,0.078081727027893177
0.44119999999999998,1604,0.033379890024662018,0.070717394351959229
0.46079999999999999,1604,0.031052136793732643,0.066334187984466553
0.48039999999999999,1604,0.027413055300712585,0.059452354907989613
0.5,1604,0.023947240784764401,0.054390251636505238
0.51959999999999995,1604,0.020995073020458221,0.050222694873809814
0.53920000000000001,1604,0.018996302038431168,0.047740280628204346
0.55879999999999996,1604,0.016760176047682762,0.043688595294952393
0.57840000000000003,1604,0.015205263160169236,0.040596604347229004
0.59799999999999998,1604,0.012795252725481987,0.036798775196075439
0.61760000000000004,1604,0.010364213958382607,0.035138845443725586
0.63719999999999999,1604,0.0088009536266328015,0.033129870891571045
0.65679999999999994,1604,0.007415491621941217,0.030760943889618031
0.6764,1604,0.0064131394028663635,0.029103279113769642
0.69599999999999995,1604,0.0054981582798063755,0.025791645050048828
0.71560000000000001,1604,0.0045701316557823501,0.021727323532104381
0.73519999999999996,1604,0.0037853785324841738,0.019849300384521595
0.75480000000000003,1604,0.0032200224231927477,0.018389582633972168
0.77439999999999998,1604,0.0024295973125844084,0.017027676105499157
0.79400000000000004,1604,0.001962816808372847,0.015879690647125244
0.81359999999999999,1604,0.0016173342010006309,0.013149082660675049
0.83319999999999994,1604,0.0012116237776353955,0.011236071586608776
0.8528,1604,0.0010357743594795465,0.010146558284759633
0.87239999999999995,1604,0.00075588194886222482,0.0087914466857910156
0.89200000000000002,1604,0.00044050608994439244,0.0072780251502991833
0.91159999999999997,1604,0.00031867480720404462,0.0061720013618468128
0.93120000000000003,1604,0.0001695149840087451,0.0049167871475219727
0.95079999999999998,1604,9.2118541942798338e-05,0.0034959316253662109
0.97039999999999993,1604,4.0972765418811896e-05,0.0023477673530579724
0.98999999999999999,1604,8.5837318691828202e-06,0.00087505578994762079
